x,y
,
jpg/Animation/1_1_51_5.jpg,1
.jpg,
jpg/Animation/2_2_52_5.jpg,2
.jpg,
jpg/Animation/3_3_53_5.jpg,2
.jpg,
jpg/Animation/4_4_54_5.jpg,2
.jpg,
jpg/Animation/5_5_55_5.jpg,2
.jpg,
jpg/Animation/6_6_56_5.jpg,3
.jpg,
jpg/Animation/7_7_57_5.jpg,2
.jpg,
jpg/Animation/8_8_58_5.jpg,1
.jpg,
jpg/Animation/9_9_59_5.jpg,2
.jpg,
jpg/Animation/10_10_510_5.jpg,2
.jpg,
jpg/Animation/11_11_511_5.jpg,2
.jpg,
jpg/Animation/12_12_512_5.jpg,1
.jpg,
jpg/Animation/13_13_513_5.jpg,1
.jpg,
jpg/Animation/14_14_514_5.jpg,1
.jpg,
jpg/Animation/15_15_515_5.jpg,1
.jpg,
jpg/Animation/16_16_516_5.jpg,2
.jpg,
jpg/Animation/17_17_517_5.jpg,2
.jpg,
jpg/Animation/18_18_518_5.jpg,1
.jpg,
jpg/Animation/19_19_519_5.jpg,1
.jpg,
jpg/Animation/20_20_520_5.jpg,2
.jpg,
jpg/Animation/21_21_521_5.jpg,1
.jpg,
jpg/Animation/22_22_522_5.jpg,2
.jpg,
jpg/Animation/23_23_523_5.jpg,1
.jpg,
jpg/Animation/24_24_524_5.jpg,2
.jpg,
jpg/Animation/25_25_525_5.jpg,2
.jpg,
jpg/Animation/26_26_526_5.jpg,1
.jpg,
jpg/Animation/27_27_527_5.jpg,1
.jpg,
jpg/Animation/28_28_528_5.jpg,1
.jpg,
jpg/Animation/29_29_529_5.jpg,2
.jpg,
jpg/Animation/30_30_530_5.jpg,1
.jpg,
jpg/Animation/31_31_531_5.jpg,1
.jpg,
jpg/Animation/32_32_532_5.jpg,2
.jpg,
jpg/Animation/33_33_533_5.jpg,1
.jpg,
jpg/Animation/34_34_534_5.jpg,1
.jpg,
jpg/Animation/35_35_535_5.jpg,1
.jpg,
jpg/Animation/36_36_536_5.jpg,1
.jpg,
jpg/Animation/37_37_537_5.jpg,1
.jpg,
jpg/Animation/38_38_538_5.jpg,1
.jpg,
jpg/Animation/39_39_539_5.jpg,2
.jpg,
jpg/Animation/40_40_540_5.jpg,1
.jpg,
jpg/Animation/41_41_541_5.jpg,1
.jpg,
jpg/Animation/42_42_542_5.jpg,2
.jpg,
jpg/Animation/43_43_543_5.jpg,1
.jpg,
jpg/Animation/44_44_544_5.jpg,2
.jpg,
jpg/Animation/45_45_545_5.jpg,2
.jpg,
jpg/Animation/46_46_546_5.jpg,2
.jpg,
jpg/Animation/47_47_547_5.jpg,2
.jpg,
jpg/Animation/48_48_548_5.jpg,2
.jpg,
jpg/Animation/49_49_549_5.jpg,2
.jpg,
jpg/Animation/50_50_550_5.jpg,3
.jpg,
jpg/Animation/51_51_551_5.jpg,2
.jpg,
jpg/Animation/52_52_552_5.jpg,2
.jpg,
jpg/Animation/53_53_553_5.jpg,1
.jpg,
jpg/Animation/54_54_554_5.jpg,1
.jpg,
jpg/Animation/55_55_555_5.jpg,2
.jpg,
jpg/Animation/56_56_556_5.jpg,1
.jpg,
jpg/Animation/57_57_557_5.jpg,2
.jpg,
jpg/Animation/58_58_558_5.jpg,1
.jpg,
jpg/Animation/59_59_559_5.jpg,2
.jpg,
jpg/Animation/60_60_560_5.jpg,2
.jpg,
jpg/Animation/61_61_561_5.jpg,1
.jpg,
jpg/Animation/62_62_562_5.jpg,1
.jpg,
jpg/Animation/63_63_563_5.jpg,2
.jpg,
jpg/Animation/64_64_564_5.jpg,2
.jpg,
jpg/Animation/65_65_565_5.jpg,2
.jpg,
jpg/Animation/66_66_566_5.jpg,2
.jpg,
jpg/Animation/67_67_567_5.jpg,1
.jpg,
jpg/Animation/68_68_568_5.jpg,2
.jpg,
jpg/Animation/69_69_569_5.jpg,1
.jpg,
jpg/Animation/70_70_570_5.jpg,2
.jpg,
jpg/Animation/71_71_571_5.jpg,2
.jpg,
jpg/Animation/72_72_572_5.jpg,2
.jpg,
jpg/Animation/73_73_573_5.jpg,2
.jpg,
jpg/Animation/74_74_574_5.jpg,1
.jpg,
jpg/Animation/75_75_575_5.jpg,1
.jpg,
jpg/Animation/76_76_576_5.jpg,1
.jpg,
jpg/Animation/77_77_577_5.jpg,1
.jpg,
jpg/Animation/78_78_578_5.jpg,1
.jpg,
jpg/Animation/79_79_579_5.jpg,2
.jpg,
jpg/Animation/80_80_580_5.jpg,1
.jpg,
jpg/Animation/81_81_581_5.jpg,1
.jpg,
jpg/Animation/82_82_582_5.jpg,3
.jpg,
jpg/Animation/83_83_583_5.jpg,1
.jpg,
jpg/Animation/84_84_584_5.jpg,1
.jpg,
jpg/Animation/85_85_585_5.jpg,4
.jpg,
jpg/Animation/86_86_586_5.jpg,1
.jpg,
jpg/Animation/87_87_587_5.jpg,2
.jpg,
jpg/Animation/88_88_588_5.jpg,2
.jpg,
jpg/Animation/89_89_589_5.jpg,1
.jpg,
jpg/Animation/90_90_590_5.jpg,2
.jpg,
jpg/Animation/91_91_591_5.jpg,2
.jpg,
jpg/Animation/92_92_592_5.jpg,2
.jpg,
jpg/Animation/93_93_593_5.jpg,2
.jpg,
jpg/Animation/94_94_594_5.jpg,2
.jpg,
jpg/Animation/95_95_595_5.jpg,2
.jpg,
jpg/Animation/96_96_596_5.jpg,2
.jpg,
jpg/Animation/97_97_597_5.jpg,2
.jpg,
jpg/Animation/98_98_598_5.jpg,2
.jpg,
jpg/Animation/99_99_599_5.jpg,2
.jpg,
jpg/Animation/100_100_5100_5.jpg,1
.jpg,
jpg/Animation/101_0_60_6.jpg,2
.jpg,
jpg/Animation/102_1_61_6.jpg,1
.jpg,
jpg/Animation/103_2_62_6.jpg,3
.jpg,
jpg/Animation/104_3_63_6.jpg,2
.jpg,
jpg/Animation/105_4_64_6.jpg,2
.jpg,
jpg/Animation/106_5_65_6.jpg,3
.jpg,
jpg/Animation/107_6_66_6.jpg,3
.jpg,
jpg/Animation/108_7_67_6.jpg,3
.jpg,
jpg/Animation/109_8_68_6.jpg,1
.jpg,
jpg/Animation/110_9_69_6.jpg,2
.jpg,
jpg/Animation/111_10_610_6.jpg,3
.jpg,
jpg/Animation/112_11_611_6.jpg,3
.jpg,
jpg/Animation/113_12_612_6.jpg,1
.jpg,
jpg/Animation/114_13_613_6.jpg,2
.jpg,
jpg/Animation/115_14_614_6.jpg,2
.jpg,
jpg/Animation/116_15_615_6.jpg,1
.jpg,
jpg/Animation/117_16_616_6.jpg,3
.jpg,
jpg/Animation/118_17_617_6.jpg,2
.jpg,
jpg/Animation/119_18_618_6.jpg,2
.jpg,
jpg/Animation/120_19_619_6.jpg,2
.jpg,
jpg/Animation/121_20_620_6.jpg,3
.jpg,
jpg/Animation/122_21_621_6.jpg,2
.jpg,
jpg/Animation/123_22_622_6.jpg,3
.jpg,
jpg/Animation/124_23_623_6.jpg,2
